,AgeGap,AgeLimits,Algorithm Name,EvaluatedSolutions,Execution Time,Generations,NonDominatedElites,NumberOfLayers,OpenLayers,ParetoFrontResults.Absolute Distance to BestKnownHypervolume,ParetoFrontResults.Best known hypervolume,ParetoFrontResults.Crowding,ParetoFrontResults.Generational Distance,ParetoFrontResults.Hypervolume,ParetoFrontResults.Pareto Front,ParetoFrontResults.Spacing,PopulationSize,Seed,SelectedParents
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=0} Run 84",5,[5;10;20;45;80;125;180;245;320;405],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=0}",300030,01:54.3,5983,0,10,10,0.321722798,1324.519128,1.216404022,0.001849911,1324.197405,[[4.32963728535968E-17;4.32963728535968E-17;1][0.707106781186548;0.707106781186547;0][0.590696364171533;0.590696364171533;0.549686829666732][...]],0.140204505,5,1863473789,10
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=3} Run 67",300,[300;600;1200;2700;4800;7500;10800;14700;19200;24300],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=3}",300000,01:04.1,4706,3,10,5,0.037993831,1324.799175,0.159239154,0.001682379,1324.761181,[[4.32963728535968E-17;4.32963728535968E-17;1][0.707106781186548;0.707106781186547;0][0.328771860546355;0.328771860546355;0.885335036822658][...]],0.034462715,16,413996561,32
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=3} Run 68",300,[300;600;1200;2700;4800;7500;10800;14700;19200;24300],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=3}",300000,01:03.9,4706,3,10,5,0.061670546,1324.806335,0.171005211,0.001425263,1324.744664,[[4.32963728535968E-17;4.32963728535968E-17;1][0.707106781186548;0.707106781186547;0][0.137248203873464;0.137248203873464;0.980982090084736][...]],0.036867671,16,1737806457,32
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=3} Run 66",5,[5;10;20;45;80;125;180;245;320;405],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=3}",300030,01:54.2,5983,3,10,10,0.213198242,1324.489923,1.214226733,0.001037774,1324.276725,[[4.32963728535968E-17;4.32963728535968E-17;1][0.707106781186548;0.707106781186547;0][0.441582723084744;0.441582723084744;0.781030983601882][...]],0.073826601,5,1981527082,10
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=1} Run 84",5,[5;10;20;45;80;125;180;245;320;405],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=1}",300030,01:54.6,5983,1,10,10,0.300181721,1324.535197,1.220642028,0.001010404,1324.235015,[[4.32963728535968E-17;4.32963728535968E-17;1][0.707106781186548;0.707106781186547;0][0.319945283496883;0.319945283496883;0.891779138092049][...]],0.08332209,5,1221449353,10
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=0} Run 85",5,[5;10;20;45;80;125;180;245;320;405],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=0}",300030,01:54.1,5983,0,10,10,0.208869989,1324.506563,1.164165269,0.00221421,1324.297693,[[0.707106781186548;0.707106781186547;0][4.32963728535968E-17;4.32963728535968E-17;1][0.355155364441955;0.355155364441955;0.864713440520155][...]],0.096565195,5,1701390993,10
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=3} Run 69",300,[300;600;1200;2700;4800;7500;10800;14700;19200;24300],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=3}",300000,01:04.1,4706,3,10,5,0.040273457,1324.803233,0.155744072,0.001034727,1324.762959,[[0.707106781186548;0.707106781186547;0][4.32963728535968E-17;4.32963728535968E-17;1][0.209094075729137;0.209094075729137;0.955279715575473][...]],0.028664931,16,1756783542,32
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=3} Run 70",300,[300;600;1200;2700;4800;7500;10800;14700;19200;24300],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=3}",300000,01:04.0,4706,3,10,5,0.042976364,1324.804224,0.17743481,0.00165776,1324.761248,[[4.32963728535968E-17;4.32963728535968E-17;1][0.707106781186548;0.707106781186547;0][0.323925507122613;0.323925507122613;0.888900743430174][...]],0.026069659,16,2087821418,32
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=3} Run 67",5,[5;10;20;45;80;125;180;245;320;405],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=3}",300030,01:54.5,5983,3,10,10,0.316463058,1324.549467,1.107209956,0.001082535,1324.233004,[[4.32963728535968E-17;4.32963728535968E-17;1][0.707106781186548;0.707106781186547;0][0.534810090328818;0.534810090328818;0.654183716218131][...]],0.18214279,5,1526080600,10
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=1} Run 85",5,[5;10;20;45;80;125;180;245;320;405],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=1}",300030,01:54.3,5983,1,10,10,0.35199701,1324.512365,1.301785994,0.001429603,1324.160368,[[4.32963728535968E-17;4.32963728535968E-17;1][0.707106781186548;0.707106781186547;0][0.372526375774208;0.372526375774208;0.849969528103841][...]],0.106806082,5,757978800,10
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=0} Run 86",5,[5;10;20;45;80;125;180;245;320;405],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=0}",300030,01:54.2,5983,0,10,10,0.128881537,1324.425604,1.164165269,0.002199113,1324.296722,[[4.32963728535968E-17;4.32963728535968E-17;1][0.707106781186548;0.707106781186547;0][0.355155364441955;0.355155364441955;0.864713440520155][...]],0.098016663,5,870851927,10
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=3} Run 71",300,[300;600;1200;2700;4800;7500;10800;14700;19200;24300],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=3}",300000,01:03.4,4706,3,10,5,0.058093018,1324.803705,0.173463204,0.001363882,1324.745612,[[0.707106781186548;0.707106781186547;0][4.32963728535968E-17;4.32963728535968E-17;1][0.571005022914204;0.571005022914204;0.589836017562084][...]],0.02995665,16,489146227,32
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=3} Run 68",5,[5;10;20;45;80;125;180;245;320;405],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=3}",300030,01:52.5,5983,3,10,10,0.364089233,1324.562556,1.122975065,0.001723771,1324.198467,[[0.707106781186548;0.707106781186547;0][4.32963728535968E-17;4.32963728535968E-17;1][0.518381970393036;0.518381970393036;0.68011783210181][...]],0.190889669,5,1476934712,10
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=3} Run 72",300,[300;600;1200;2700;4800;7500;10800;14700;19200;24300],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=3}",300000,01:03.4,4706,3,10,5,0.024137425,1324.80178,0.139940938,0.002060261,1324.777642,[[4.32963728535968E-17;4.32963728535968E-17;1][0.707106781186548;0.707106781186547;0][0.0577659541435157;0.0577659541435156;0.996657508416898][...]],0.025405088,16,1801104629,32
