, Count, Minimum, Maximum, Average, Median, Standard Deviation, Variance, 25th Percentile, 75th Percentile, Avg. of Upper 25 %,  Avg. of Lower 25 %, Avg. of First 25 %, Avg. of Last 25 %, Slope, Intercept, Average Relative Error
ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 17, 6545, 0, 3201, 1242.0233512964485, 1240, 648.59914251157238, 420680.84766674705, 711, 1781, 2081.2694024404109, 397.85083848146621, 402.15281861037454, 2077.6325338211341, 0.34075747661840655, 127.06488780102222, 0.985467832225445
ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 18, 6545, 0, 3311.344827586207, 1241.1706389905423, 1249, 646.14093143409229, 417498.1032745163, 710, 1806.75, 2074.9036121854915, 400.96365911311312, 401.65948699683588, 2067.070796931589, 0.33997803447975611, 128.76251017278037, 0.988442969070693
ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 19, 6545, 0, 3201, 1240.7851743750266, 1248, 645.73352393444065, 416971.78393279086, 686, 1785, 2076.5263836807926, 400.83624399740535, 403.43645045201913, 2073.7640644409225, 0.33952995660482205, 129.84315636404881, 0.98708359473741225
ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 20, 6545, 0, 3001, 1235.74938599623, 1229, 650.95377215721385, 423740.81348570593, 690, 1775, 2077.609896029122, 385.78848240439868, 388.52581401463078, 2072.881436379012, 0.3424429379381943, 115.27609306245836, 0.98805367659278387
ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 21, 6545, 0, 3001, 1242.2873185298517, 1238.5675675675675, 645.269841772197, 416373.16870071611, 686, 1777, 2069.0086488980146, 397.58935393253518, 400.1794365807279, 2065.3229362404463, 0.33935951465840514, 131.90298656755022, 0.98751051877410467
ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 22, 6545, 0, 3001, 1244.3190085319516, 1248, 643.77827330544824, 414450.46518014447, 690.25, 1804, 2075.6236980337212, 407.69493527648615, 411.33931734597269, 2068.9999130976407, 0.338492714200408, 136.77084766821667, 0.98703016363486251
ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 23, 6545, 0, 3151, 1238.5210835066796, 1249, 652.53492079909847, 425801.82286228571, 713, 1816.6666666666667, 2078.9877813894236, 382.47890038617641, 386.60313632749711, 2072.0560328515471, 0.34304622885851427, 116.07382268162087, 0.986738760808896
ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 24, 6545, 0, 3841, 1239.1641407042794, 1219, 646.43793236247222, 417882.00039706816, 710, 1802, 2072.4029555372285, 394.6942662505071, 398.94243250967651, 2067.8173194761875, 0.33973394483661423, 127.55467319887748, 0.98611740633864886
ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 25, 6545, 0, 3010.4285714285716, 1240.0785443655043, 1254, 647.44454379822992, 419184.437294098, 711.5, 1789.25, 2078.0431681642071, 393.0548891398621, 395.4512590674305, 2074.799001813, 0.340624698427319, 125.55453111131646, 0.98821519056044493
ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 26, 6545, 0, 3001, 1243.2943757588098, 1241.75, 649.44135728999811, 421774.07655867492, 693.75, 1805.25, 2082.19537488198, 392.95059700806348, 396.37969896275109, 2079.8036088442836, 0.3416023268855316, 125.57156218935029, 0.98779349803300442
ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 27, 6545, 0, 3734.3333333333335, 1243.8624678052211, 1265.25, 644.436338573714, 415298.19447429461, 710, 1785, 2072.5235806556643, 402.59905406676836, 406.80639683324677, 2069.7640280737983, 0.33856335610505145, 136.08316662949278, 0.98542656335337886
ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 28, 6545, 0, 2966.7142857142858, 1247.9652501936191, 1249, 643.86929559441489, 414567.66980924807, 713, 1805, 2083.1476191647616, 409.46517692494649, 413.7433104330068, 2076.6749256402018, 0.33791480868574325, 142.3079961738672, 0.98338464901008549
ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 29, 6545, 0, 2851, 1148.3422414275103, 1136, 635.19892034342513, 403477.66840545292, 608, 1705, 1978.9339582916382, 326.88298836522375, 330.66318868082323, 1972.1940914059703, 0.3340278232358358, 55.403203799855646, 0.98730239400210107
ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 30, 6545, 0, 2701, 1147.6275644960483, 1156, 634.76347269563678, 402924.66626862442, 582.73913043478262, 1694.5, 1973.0126215487837, 325.27281122979906, 328.09559672969732, 1971.5999770701435, 0.33417935973765572, 54.192699434438737, 0.98955467787738893
