,Count,Minimum,Maximum,Average,Median,Standard Deviation,Variance,25th Percentile,75th Percentile,Avg. of Upper 25 %, Avg. of Lower 25 %,Avg. of First 25 %,Avg. of Last 25 %,Slope,Intercept,Average Relative Error
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5} Run 18",50,21,6471,762,00:00.0,1717.606605,2950172.449,21,471,2571,21,46,2294.076923,54.66266507,-577.2352941,0.215225207
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5} Run 19",50,35,6135,488,00:00.0,1444.53262,2086674.49,35,185,1760,35,39.16666667,1550.384615,32.64585834,-311.8235294,0.108532651
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5} Run 18",50,55,6955,1507,00:00.0,2593.023607,6723771.429,55,355,5530,55,105,4924.230769,122.8235294,-1502.176471,0.47677024
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5} Run 20",50,4,5784,359.3,00:00.0,1384.469032,1916754.5,4,1.90E+01,1467.333333,4,4.833333333,1352.461538,2.84E+01,-337.4941176,0.089674554
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5} Run 19",50,21,6471,846,00:00.0,1905.637448,3631454.082,21,621,3058.5,21,33.5,2755.615385,65.25090036,-752.6470588,0.249144552
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=10} Run 11",40,182,10982,3024.5,00:00.0,3559.378187,12669173.08,182,3782,8612,182,182,8432,250.9474672,-1868.97561,0.679328705
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5} Run 20",50,35,6135,603,00:00.0,1651.306224,2726812.245,35,1.35E+02,2276.666667,35,39.16666667,2046.538462,4.76E+01,-562.1764706,0.176260477
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5} Run 19",50,55,6955,1069,00:00.0,2038.207496,4154289.796,55,955,3555,55,55,3124.230769,80.65786315,-907.1176471,0.332778738
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5} Run 20",50,21,6471,735,00:00.0,1731.227004,2997146.939,21,321,2633.5,21,46,2201.769231,50.39135654,-499.5882353,0.18003751
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=10} Run 1",45,26,9026,2579.333333,00:00.0,2865.119385,8208909.091,176,3626,6735.090909,66.90909091,121.4545455,6263.5,189.5059289,-1589.797101,0.754656395
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5} Run 20",50,55,6955,1831,00:00.0,2630.632732,6920228.571,55,955,6105,55,80,5570.384615,141.4069628,-1633.470588,0.61401656
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=10} Run 1",50,15,7015,1249,00:00.0,1883.614632,3548004.082,65,1.22E+03,3785.833333,40,40,3349.615385,90.05522209,-957.3529412,0.485727427
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=10} Run 12",40,182,10982,3092,00:00.0,3270.285803,10694769.23,782,5282,7562,302,302,7562,239.2682927,-1573.731707,0.731579429
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=10} Run 1",50,3,5968,439.2,00:00.0,1413.694884,1998533.224,18,1.73E+02,1674.25,7.166666667,7.166666667,1528.769231,40.92388956,-563.4352941,0.178074351
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 1",48,242,6542,1104.5,00:00.0,2080.877986,4330053.191,242,542,3542,242,242,1892,57.38167607,-243.9693878,0.149042216
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=10} Run 2",45,26,9026,2459.333333,00:00.0,2793.98705,7806363.636,326,3326,6435.090909,53.27272727,53.27272727,5926,175.7509881,-1407.188406,0.682552203
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 2",48,242,6542,1117,00:00.0,2076.463852,4311702.128,242,542,3542,242,242,2492,69.10551455,-506.9795918,0.217086457
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=10} Run 2",50,15,7015,1331,00:00.0,1731.739717,2998922.449,115,1.57E+03,3690,48.33333333,48.33333333,3441.923077,91.72629052,-916.2941176,0.596185433
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=10} Run 2",50,3,5973,535.9,00:00.0,1621.151987,2628133.765,8,143,2116.75,4.666666667,5.916666667,1935.307692,52.91308523,-760.4705882,0.226379782
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=10} Run 13",40,182,10982,3572,00:00.0,3427.400899,11747076.92,332,7082,8252,182,212,8252,258.8555347,-1475.682927,0.779556685
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 3",48,242,6542,1648.25,00:00.0,2540.431045,6453789.894,242,542,5542,242,242,4517,1.14E+02,-1039.887755,0.397382342
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=10} Run 3",45,26,9026,1869.333333,00:00.0,2516.414296,6332340.909,326,2426,5371.454545,53.27272727,66.90909091,4801,140.7114625,-1226.318841,0.539366247
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 4",48,242,6542,1473.25,00:00.0,2463.189098,6067300.532,242,542,5042,242,242,3992,99.79917499,-872.0306122,0.32174697
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=10} Run 3",50,15,7015,1347,00:00.0,1875.53421,3517628.571,65,1615,3815,44.16666667,44.16666667,3599.615385,98.22328932,-1059.470588,0.582824637
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=10} Run 3",50,3,5968,433.5,00:00.0,1414.803747,2001669.643,13,153,1660.5,5.083333333,5.5,1536.461538,41.00336134,-571.0823529,0.178486533
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=10} Run 14",40,182,10982,3647,00:00.0,3792.269465,14381307.69,482,7382,9182,332,332,8282,282.4390244,-1860.560976,0.758077539
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 5",48,242,6542,1510.75,00:00.0,2446.026413,5983045.213,242,542,5042,242,242,4042,98.95245332,-814.6326531,0.320764959
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=10} Run 4",45,26,9026,2382.666667,00:00.0,2649.648347,7020636.364,326,3476,6230.545455,66.90909091,66.90909091,6001,175.4743083,-1477.768116,0.756553594
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=10} Run 4",50,15,7015,1062,00:00.0,1679.206871,2819735.714,15,715,3235.833333,15,27.5,2672.692308,72.36254502,-710.8823529,0.394619185
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=10} Run 4",50,3,5983,557,00:00.0,1618.995342,2621145.918,18,1.98E+02,2170.083333,4.666666667,5.916666667,2018.384615,54.78751501,-785.2941176,0.24334977
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 6",48,242,6542,2148.25,00:00.0,2851.756178,8132513.298,242,6542,6542,242,242,6042,155.5199739,-1506.469388,0.582912863
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=10} Run 15",40,182,10982,3002,00:00.0,3189.260826,10171384.62,482,4382,7682,302,302,7142,213.6585366,-1164.341463,0.613370697
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 7",48,242,6542,1204.5,00:00.0,2231.269556,4978563.83,242,542,4042,242,242,2892,68.09596179,-395.755102,0.18255541
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=10} Run 5",45,26,9026,2172.666667,00:00.0,2678.479046,7174250,326,1826,6080.545455,80.54545455,80.54545455,5601,163.6363636,-1427.333333,0.643831518
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=10} Run 5",50,15,7015,1081,00:00.0,1760.317689,3098718.367,165,1265,3594.166667,60.83333333,60.83333333,3153.461538,80.05282113,-880.2941176,0.439470888
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=10} Run 5",50,3,5983,428.9,00:00.0,1419.259181,2014296.622,13,103,1642.166667,4.25,5.083333333,1500.692308,4.02E+01,-555.0941176,1.70E-01
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 8",48,242,6542,1273.25,00:00.0,2204.459334,4859640.957,242,542,4042,242,242,3042,76.15610074,-516.4183673,0.233916732
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=10} Run 16",40,182,10982,3009.5,00:00.0,3141.940238,9871788.462,182,3782,7112,182,182,7112,218.358349,-1248.487805,0.660094882
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 9",48,242,6542,1223.25,00:00.0,2224.204974,4947087.766,242,542,4042,242,242,2467,7.08E+01,-439.377551,0.198317335
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=10} Run 6",45,26,9026,2506,00:00.0,2818.534435,7944136.364,476,3776,6762.363636,121.4545455,121.4545455,6213.5,185.4347826,-1573.565217,0.746663305
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=10} Run 6",50,3,5983,562.1,00:00.0,1617.529197,2616400.704,8,2.18E+02,2172.166667,4.666666667,4.666666667,2009.153846,54.99903962,-785.3764706,0.24567722
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=10} Run 6",50,15,7015,1333,00:00.0,1881.129708,3538648.98,165,1565,3819.166667,44.16666667,60.83333333,3645.769231,98.5210084,-1080.764706,0.58287999
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 10",48,242,6542,698.25,00:00.0,1529.692814,2339960.106,242,5.42E+02,2042,242,242,867,2.64E+01,77.20408163,0.058500465
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 11",48,242,6542,2123.25,00:00.0,2867.325557,8221555.851,242,6542,6542,242,242,5492,1.57E+02,-1574.326531,0.590202002
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=10} Run 17",40,182,10982,3414.5,00:00.0,3486.338723,12154557.69,182,7382,8462,182,182,7802,245.4315197,-1371.414634,0.677304741
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=10} Run 7",50,3,5978,432.9,00:00.0,1394.258815,1943957.643,13,1.53E+02,1644.25,4.25,5.083333333,1529.538462,40.81320528,-567.0235294,0.182084737
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=10} Run 7",50,15,7015,1343,00:00.0,1997.706849,3990832.653,165,1365,3865,52.5,52.5,3618.846154,100.2593037,-1113.352941,0.535235346
