,Count,Minimum,Maximum,Average,Median,Standard Deviation,Variance,25th Percentile,75th Percentile,Avg. of Upper 25 %, Avg. of Lower 25 %,Avg. of First 25 %,Avg. of Last 25 %,Slope,Intercept,Average Relative Error
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5} Run 4",50,4,5784,1167.8,19,2331.549927,5436125.061,4,39,4826.5,4,4.833333333,4453.615385,111.1846339,-1556.223529,0.483235727
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5} Run 7",50,21,6471,1641,471,2466.427641,6083265.306,171,1071,5571,46,46,5224.846154,132.5330132,-1606.058824,0.613578765
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5} Run 7",50,35,6135,1315,85,2435.410538,5931224.49,85,235,5151.666667,43.33333333,43.33333333,4773.461538,118.607443,-1590.882353,0.504009194
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5} Run 9",50,55,6955,1975,955,2568.56984,6597551.02,355,1555,6055,105,105,5708.846154,144.057623,-1554.411765,0.668418815
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5} Run 5",50,4,5784,1167,19,2331.949347,5437987.755,4,24,4824,4,4.416666667,4454.769231,111.1903962,-1557.164706,0.483120275
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5} Run 8",50,21,6471,1581,321,2500.081631,6250408.163,21,1071,5571,21,21,5224.846154,133.9735894,-1701.352941,0.610223519
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5} Run 8",50,35,6135,1355,135,2418.803887,5850612.245,35,435,5185,35,35,4819.615385,121.0084034,-1609.705882,0.531849408
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5} Run 6",50,4,5784,1169.7,19,2330.609102,5431738.786,4,39,4826.5,4,4.416666667,4458.230769,111.3433373,-1558.211765,0.485007581
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5} Run 10",50,55,6955,1759,955,2354.757234,5544881.633,355,1555,5155,105,105,4878.076923,120.7202881,-1198.647059,0.558505149
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5} Run 9",50,21,6471,1551,321,2507.05128,6285306.122,21,921,5546,21,21,5190.230769,132.5330132,-1696.058824,0.59385531
