,AgeGap,AgeLimits,Algorithm Name,EvaluatedSolutions,Execution Time,Generations,NumberOfLayers,OpenLayers,ParetoFrontResults.Absolute Distance to BestKnownHypervolume,ParetoFrontResults.Crowding,ParetoFrontResults.Generational Distance,ParetoFrontResults.Hypervolume,ParetoFrontResults.Pareto Front,ParetoFrontResults.Spacing,PopulationSize,Seed,SelectedParents
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5} Run 19",300,[300;600;1200;2700;4800],"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5}",300030,00:48.0,6955,5,5,2.370184373,0.316253604,3.1098633,115.1483908,[[1;0.221568024499458][0.280775318815369;1.04629376447214][0.887453551119661;0.411792686712879][0.635377987643539;0.75546338053772][...]],0.04390643,10,433073382,20
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5} Run 19",50,[50;100;200;450;800],"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5}",300020,00:46.3,6135,5,5,3.589232881,0.239489803,4.645393046,113.9293423,[[0.280775318815369;1.11782103187345][0.999176138544917;0.337104453183826][0.81376076041947;0.622564013640723][...]],0.043471685,10,233931330,20
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5} Run 19",150,[150;300;600;1350;2400],"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5}",300030,00:47.2,6471,5,5,3.754127022,0.38929775,3.768456432,113.7644482,[[0.999999913923021;0.352944195297869][0.280775318815369;1.12283774434316][0.793293816646789;0.669161381890389][...]],0.034398764,10,311569694,20
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5} Run 20",5,[5;10;20;45;80],"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5}",300010,00:43.3,5784,5,5,1.837685308,0.329432135,5.056775853,115.6808899,[[0.28077531881538;1.01657514612742][0.999999455423386;0.170670107038447][0.573989085863685;0.786422851569988][...]],0.039408566,10,960219675,20
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5} Run 20",300,[300;600;1200;2700;4800],"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5}",300030,00:47.8,6955,5,5,1.881215702,0.311797733,2.950553603,115.6373595,[[1;0.174576914229796][0.280775318815369;1.02183976375495][0.714823518089281;0.626765718778626][0.553237403488999;0.814204579950493][...]],0.040065736,10,1148583318,20
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5} Run 20",50,[50;100;200;450;800],"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5}",300020,00:46.0,6135,5,5,4.524513747,0.390608902,4.094645245,112.9940614,[[0.280775318815369;1.17135907009032][1;0.425586161452813][0.940899464477459;0.518453904662741][0.792677770316494;0.726482919551454][...]],0.100277202,10,119910185,20
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5} Run 20",150,[150;300;600;1350;2400],"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5}",300030,00:47.2,6471,5,5,3.568992891,0.337213745,3.617606973,113.9495823,[[0.280775318815369;1.11488073722635][1;0.335288936016559][0.510402829910853;0.961126223145145][0.702687622567929;0.763716824372938][...]],0.040589629,10,455854631,20
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=10} Run 1",300,[300;600;1200;2700;4800;7500;10800;14700;19200;24300],"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=10}",300000,01:03.2,10982,10,8,0.108971462,0.433873475,2.52459369,117.4096037,[[0.280775318815369;0.956549251015757][1;0][0.522391916845345;0.768667304666711][0.713920319962912;0.539415027936719][...]],0.104592636,5,1329719966,10
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=10} Run 1",150,[150;300;600;1350;2400;3750;5400;7350;9600;12150],"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=10}",300015,00:59.9,9026,10,9,1.312872574,0.405612328,3.082869018,116.2057026,[[0.280775318815369;0.986188550103192][1;0.117594319097756][0.824238397284664;0.419926937290909][0.682874590432352;0.620819312069965][...]],0.091083161,5,1245992777,10
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=10} Run 1",50,[50;100;200;450;800;1250;1800;2450;3200;4050],"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=10}",300000,00:55.8,7015,10,10,1.665897259,0.40024662,3.818434731,115.8526779,[[1;0.151148526526234][0.280775318815369;1.0053242219583][0.707006907128866;0.614918191630208][0.516243805527169;0.831299394160999][...]],0.144766387,5,1046760527,10
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=10} Run 1",5,[5;10;20;45;80;125;180;245;320;405],"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=10}",300030,00:52.6,5983,10,10,0.084253799,0.316151393,5.37189092,117.4343214,[[0.280775318815369;0.921165220344128][0.999999999999172;1.65600866353088E-12][0.793971581925884;0.369609127094109][...]],0.107660007,5,1391640744,10
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=10} Run 2",300,[300;600;1200;2700;4800;7500;10800;14700;19200;24300],"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=10}",300000,01:02.4,10982,10,8,0.078917489,0.577887721,2.140889622,117.4396577,[[0.280775318815369;0.921165220344128][1;0][0.494991382271689;0.754983531476763][0.721611507152204;0.479276832745525][...]],0.331451753,5,1011031765,10
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=10} Run 2",150,[150;300;600;1350;2400;3750;5400;7350;9600;12150],"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=10}",300015,00:59.2,9026,10,9,0.078134996,0.4457432,2.755225254,117.4404402,[[1;0][0.280775318815369;0.921165220344128][0.510566083658352;0.739322274217773][0.730868638630283;0.465831033066717][...]],0.06937779,5,1688510188,10
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=10} Run 2",5,[5;10;20;45;80;125;180;245;320;405],"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=10}",300030,00:52.7,5983,10,10,18.27623532,0.312398134,5.497294308,99.24233987,[[0.280775318815369;2.14395661325822][1;1.72142651617815][0.672395886377754;1.97273581254714][0.874246260964767;1.82953696667431][...]],0.097644796,5,316966747,10
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=10} Run 2",50,[50;100;200;450;800;1250;1800;2450;3200;4050],"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=10}",300000,00:55.5,7015,10,10,4.871863009,0.394651458,3.482182108,112.6467122,[[0.280775318815369;1.19063055983052][1;0.455768473573792][0.855891889048479;0.669126707621607][0.625340234098757;0.941559683921388][...]],0.087081011,5,359597932,10
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=10} Run 3",300,[300;600;1200;2700;4800;7500;10800;14700;19200;24300],"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=10}",300000,01:02.4,10982,10,8,0.079781752,0.449464071,3.094187456,117.4387934,[[0.280775318815369;0.921165220344128][1;0][0.95858794497616;0.171463790079349][0.812765414721301;0.417902017309176][...]],0.074011521,5,410060368,10
