,Count,Minimum,Maximum,Average,Median,Standard Deviation,Variance,25th Percentile,75th Percentile,Avg. of Upper 25 %, Avg. of Lower 25 %,Avg. of First 25 %,Avg. of Last 25 %,Slope,Intercept,Average Relative Error
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=3} Run 2",5866,1210.180551,1331,1330.936727,00:00.0,2.731861278,7.463066044,1331,1.33E+03,1331,1330.746823,1330.751776,1330.998427,6.31E-05,1330.751582,0.001531818
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3} Run 18",6387,1220.057936,1331,1330.42231,29:25.1,1.463913486,2.143042695,1330.162578,1330.854221,1330.971721,1329.741685,1330.168919,1330.541764,8.15E-05,1330.162189,0.01052935
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=3} Run 16",6260,1210.089753,1331,1330.59411,33:33.7,2.668349635,7.120089774,1330.405805,1330.997501,1330.999819,1329.863671,1330.358375,1330.6739,7.94E-05,1330.345776,0.002888522
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=3} Run 3",5866,1232.42369,1331,1330.965395,00:00.0,1.8200835,3.312703946,1331,1.33E+03,1331,1330.861533,1330.864722,1330.998799,3.43E-05,1330.864926,0.001016202
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3} Run 19",6387,1211.664978,1331,1330.403126,25:43.8,1.571899634,2.47086846,1330.169678,1330.81527,1330.957775,1329.702496,1330.130616,1330.489879,7.83E-05,1330.153132,0.008435152
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=3} Run 17",6260,1227.088702,1331,1330.582837,06:42.4,2.309391711,5.333290075,1330.37938,1.33E+03,1330.999719,1329.849991,1330.368749,1330.642287,6.35E-05,1330.384062,0.002470671
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=10} Run 20",9028,1210.211286,1331,1329.035617,39:12.1,3.620499791,13.10801874,1328.34213,1330.943244,1330.995255,1325.850973,1327.732976,1329.713169,0.000330675,1327.543116,0.056665023
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=3} Run 4",5866,1210.120474,1331,1330.95704,00:00.0,2.232000011,4.98182405,1331,1.33E+03,1331,1330.828101,1330.832564,1330.998271,4.24E-05,1330.832749,0.001034173
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3} Run 20",6387,1294.770491,1331,1330.384313,18:05.1,1.158040755,1.34105839,1330.155698,1330.840659,1330.967378,1329.607125,1330.023059,1330.510742,0.000106007,1330.045832,0.028490762
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=3} Run 18",6260,1210,1331,1330.525144,03:16.4,3.343344733,11.177954,1330.39039,1.33E+03,1330.999834,1329.586375,1330.121866,1330.702249,0.000135299,1330.101725,0.00534891
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=3} Run 5",5866,1323.830467,1331,1330.995723,00:00.0,0.136407791,0.018607085,1331,1.33E+03,1331,1330.982885,1330.987576,1330.997567,2.64E-06,1330.987975,0.001075782
