, Absolute Distance to BestKnownHypervolume, Best known hypervolume, BestKnownFront, Crowding, Encoding.ProblemSize, Execution Time, Generational Distance, Hypervolume, Pareto Front, ProblemSize, ReferencePoint, Seed, Spacing, TestFunction
NSGA-II Run 13, 0.029575086827662744, 1331, [[1;0;0][0.148995292019639;0;0.988837905298933][0.0221995970440176;0.147332192460103;0.988837905298933][...]], 0.48556559340350491, 70, 00:13:42.3557137, 0.43521324337048944, 1330.9704249131723, [[1;0;0][3.74915180455534E-33;6.15934877865472E-17;1.0059312136393][6.12303176910968E-17;7.24108908739947E-22;13.9229076643785][...]], 70, [11;11;11], 1803871519, 1.5914492629644574, DTLZ4
NSGA-II Run 14, 0.21754409956565723, 1331.0000000000002, [[1;0;0][0.148995292019639;0;0.988837905298933][0.0221995970440176;0.147332192460103;0.988837905298933][...]], 0.1806315407659469, 70, 00:06:38.0829306, 0.13388475149229806, 1330.7824559004346, [[1;0;0][6.12286678308265E-17;6.44882622117593E-19;1.43470218642244][6.12303176911189E-17;1.94858817142124;0][...]], 70, [11;11;11], 646399484, 0.071628696132686118, DTLZ4
NSGA-II Run 15, 0.19800085726433281, 1331, [[1;0;0][0.148995292019639;0;0.988837905298933][0.0221995970440176;0.147332192460103;0.988837905298933][...]], 0.3480526510200499, 70, 00:06:41.2174784, 0.41386035967045054, 1330.8019991427357, [[1;0;0][6.12303175883639E-17;7.22412346666859;0.000418521920043507][3.74915180455534E-33;6.14906394891398E-17;1.00425151800345][...]], 70, [11;11;11], 1600095491, 0.61767348549439383, DTLZ4
NSGA-II Run 16, 0.18839010422288993, 1331, [[1;0;0][0.148995292019639;0;0.988837905298933][0.0221995970440176;0.147332192460103;0.988837905298933][...]], 0.32920249802555085, 70, 00:06:46.3657551, 0.40055759805414726, 1330.8116098957771, [[1;0;0][3.74915180455534E-33;6.15867073227242E-17;1.00582047660447][6.1230317674049E-17;1.67278585966935;3.94990786077528E-05][...]], 70, [11;11;11], 644412315, 0.16445028437596607, DTLZ4
NSGA-II Run 17, 0.18462924934647162, 1331, [[1;0;0][0.148995292019639;0;0.988837905298933][0.0221995970440176;0.147332192460103;0.988837905298933][...]], 0.21525455229257676, 70, 00:06:59.6758041, 0.15649938009655595, 1330.8153707506535, [[1;0;0][6.12303176905107E-17;1.75700206332218;7.83098002791121E-06][6.12303176909388E-17;5.14283005818641E-22;3.46330371557112][...]], 70, [11;11;11], 1804081605, 0.25010015728371565, DTLZ4
NSGA-II Run 18, 0.13395279042561015, 1331, [[1;0;0][0.148995292019639;0;0.988837905298933][0.0221995970440176;0.147332192460103;0.988837905298933][...]], 0.21227225613243378, 70, 00:06:44.2279868, 0.24304390326393932, 1330.8660472095744, [[1;0;0][3.74915180455534E-33;6.17869147335143E-17;1.00909021973727][6.12303176911188E-17;4.89480224413145E-24;2.07300806443593][...]], 70, [11;11;11], 695324787, 0.17085262493816375, DTLZ4
NSGA-II Run 19, 0.042054637832507069, 1331, [[1;0;0][0.148995292019639;0;0.988837905298933][0.0221995970440176;0.147332192460103;0.988837905298933][...]], 0.21162420098040211, 70, 00:13:53.7934899, 0.204860503272295, 1330.9579453621675, [[1;0;0][3.74915180455534E-33;6.15075036846442E-17;1.00452694031286][6.12303176911189E-17;0;2.53984022996471][...]], 70, [11;11;11], 134656146, 0.0721434285517313, DTLZ4
NSGA-II Run 20, 0.015865153103050034, 1331, [[1;0;0][0.148995292019639;0;0.988837905298933][0.0221995970440176;0.147332192460103;0.988837905298933][...]], 0.44844681755664523, 70, 00:20:50.4899066, 0.52160920721057791, 1330.9841348468969, [[1;0;0][6.12303176911189E-17;0;1.46832920701826][6.12303176911189E-17;9.06232559317181;1.26810429433654E-18][...]], 70, [11;11;11], 1772767983, 0.45531160808164184, DTLZ4
NSGA-II Run 9, 0.024809136763906281, 1324.7601831470988, [[0.707106781186548;0.707106781186547;0][0.707092823504067;0.707092823504067;0.00628314396555895][0.707075376530114;0.707075376530114;0.00942463843314401][...]], 0.10522979554987545, 70, 00:02:11.0807563, 0.0061789165663274116, 1324.7353740103349, [[4.33461289255624E-17;4.37131489648369E-17;1.00539659307581][0.713916605838243;0.707919757406545;0][4.37132414139233E-17;4.33461398874603E-17;1.00539779125504][...]], 70, [11;11;11], 1807978391, 0.013657791536436129, DTLZ5
NSGA-II Run 21, 0.15795472431091184, 1331, [[1;0;0][0.148995292019639;0;0.988837905298933][0.0221995970440176;0.147332192460103;0.988837905298933][...]], 0.18705309402328438, 70, 00:07:31.7707894, 0.19124274867081731, 1330.8420452756891, [[1;0;0][6.12303176910956E-17;6.99560170464566E-23;1.31164887363143][6.12299685535831E-17;5.74109048677246;0.0193876986995404][...]], 70, [11;11;11], 1592679131, 0.444608323119935, DTLZ4
NSGA-II Run 22, 0.1131282758863108, 1331, [[1;0;0][0.148995292019639;0;0.988837905298933][0.0221995970440176;0.147332192460103;0.988837905298933][...]], 0.17779663047871402, 70, 00:12:02.3717539, 0.097055388940171031, 1330.8868717241137, [[1;0;0][3.74915180455534E-33;6.1551599704253E-17;1.00524710674792][6.12303176911189E-17;0;1.12496280408345][...]], 70, [11;11;11], 2075373310, 0.12752098934905873, DTLZ4
NSGA-II Run 23, 0.23811974736349839, 1331.0000000000002, [[1;0;0][0.148995292019639;0;0.988837905298933][0.0221995970440176;0.147332192460103;0.988837905298933][...]], 0.50967959048983968, 70, 00:09:21.2154114, 0.89145136632648847, 1330.7618802526367, [[1;0;0][3.74915180455534E-33;6.16207450999282E-17;1.00637637405017][6.12303176911189E-17;7.14291407930499E-206;4.18806165185217][...]], 70, [11;11;11], 1044541396, 0.32463879442404897, DTLZ4
NSGA-II Run 24, 0.10036013729541082, 1331, [[1;0;0][0.148995292019639;0;0.988837905298933][0.0221995970440176;0.147332192460103;0.988837905298933][...]], 0.30871906518925768, 70, 00:13:56.9319360, 0.39883588111550411, 1330.8996398627046, [[1;0;0][3.74915180455534E-33;6.15107802413886E-17;1.0045804523126][6.12303176911189E-17;1.2147892590274;0][...]], 70, [11;11;11], 15660102, 0.32821479142491972, DTLZ4
