,AgeGap,AgeLimits,Algorithm Name,EvaluatedSolutions,Execution Time,Generations,NumberOfLayers,OpenLayers,ParetoFrontResults.Absolute Distance to BestKnownHypervolume,ParetoFrontResults.Crowding,ParetoFrontResults.Generational Distance,ParetoFrontResults.Hypervolume,ParetoFrontResults.Pareto Front,ParetoFrontResults.Spacing,PopulationSize,Seed,SelectedParents,Problem
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5} Run 14",50,[50;100;200;450;800],"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5}",300020,07:44.8,6135,5,5,120.4981707,123.0544122,464.1584359,1210.458534,[[1;0;0][6.1230284891434E-17;1148.69688310713;1.18897355104877][3.74915180455534E-33;9.98386041274957E-16;16.3054199116097][...]],103.6466422,10,1682531930,20,DTLZ3
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5} Run 14",150,[150;300;600;1350;2400],"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5}",300030,07:52.7,6471,5,5,0.421112773,88.25575997,313.241491,1330.578655,[[1;0;0][6.12293185586685E-17;1.24144666673024E-16;354.911483819477][6.12303176911189E-17;0;4.72440107187515][...]],89.4313864,10,1806593952,20,DTLZ3
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5} Run 15",5,[5;10;20;45;80],"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5}",300010,07:21.0,5784,5,5,120.956705,136.4403325,769.8504789,1210,[[1;0;0][3.74915180455534E-33;1.63072709057335E-15;26.6326740096251][6.12303176911189E-17;0;51.4694674152457][...]],72.77524164,10,2045755812,20,DTLZ3
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=10} Run 8",300,[300;600;1200;2700;4800;7500;10800;14700;19200;24300],"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=10}",300000,13:59.4,10982,10,8,1.106904034,99.31790276,202.7004776,1329.849801,[[1;0;0][6.12303171079641E-17;9.21011522857892E-18;1089.87050683656][3.74915180455534E-33;6.56678833333328E-17;1.07247334016132][...]],48.4210282,5,1171197060,10,DTLZ3
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5} Run 14",300,[300;600;1200;2700;4800],"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5}",300030,08:09.2,6955,5,5,2.759358321,70.50990576,219.9840184,1328.240252,[[1;0;0][3.74915180455534E-33;1.34420072477332E-16;2.19531888035311][6.12303176911189E-17;0;2.19531888035311][...]],57.50070315,10,2120175008,20,DTLZ3
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5} Run 15",50,[50;100;200;450;800],"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5}",300020,07:44.3,6135,5,5,62.8172533,98.58084716,367.8991712,1268.139452,[[1;0;0][6.12303176911189E-17;0;13.7511281169911][3.74915180455534E-33;8.4198594321464E-16;13.7511281169911][...]],90.22036397,10,1583840847,20,DTLZ3
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=10} Run 9",150,[150;300;600;1350;2400;3750;5400;7350;9600;12150],"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=10}",300015,12:52.6,9026,10,9,11.5795841,141.883082,342.7368175,1319.377121,[[1;0;0][6.12303176911189E-17;116.844956783133;0][3.74915180455534E-33;6.46975074347851E-17;1.05662537570288][...]],93.46772716,5,1519477405,10,DTLZ3
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5} Run 16",5,[5;10;20;45;80],"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5}",300010,07:22.8,5784,5,5,120.956705,147.5728462,624.4574963,1210,[[1;0;0][6.12303176911189E-17;0;41.3862580085017][3.74915180455534E-33;2.5339379555482E-15;41.3837140014666][...]],105.8796361,10,104022397,20,DTLZ3
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5} Run 15",150,[150;300;600;1350;2400],"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5}",300030,07:53.3,6471,5,5,80.37009747,134.754389,475.6838193,1250.586607,[[1;0;0][6.1230317688145E-17;7.23636303587606E-19;1199.11343522496][3.74915180455534E-33;4.83258818981883E-16;7.89247610015222][...]],77.56441253,10,1554820918,20,DTLZ3
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5} Run 15",300,[300;600;1200;2700;4800],"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5}",300030,08:09.2,6955,5,5,1.337106245,95.2949605,339.4077206,1329.6624,[[1;0;0][6.12303176911189E-17;0;1.73196972755198][3.74915180455534E-33;1.06049056649409E-16;1.73196972755198][...]],80.18602893,10,684400135,20,DTLZ3
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5} Run 16",50,[50;100;200;450;800],"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5}",300020,07:43.0,6135,5,5,99.2478734,136.1624657,667.2486869,1231.719565,[[1;0;0][3.74915180455534E-33;6.56095838502288E-16;10.7152120590328][6.12303176911189E-17;0;9.72979099587088][...]],54.62157329,10,1237452701,20,DTLZ3
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=10} Run 9",300,[300;600;1200;2700;4800;7500;10800;14700;19200;24300],"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=10}",300000,13:51.5,10982,10,8,34.39244949,177.1161729,318.404046,1296.564255,[[1;0;0][6.12303176911189E-17;105.767858933588;0][6.12303176911189E-17;0;3.13059879077608][6.12303176279512E-17;2.39682390467634E-18;861.768071372332][...]],79.5524027,5,246123283,10,DTLZ3
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5} Run 17",5,[5;10;20;45;80],"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5}",300010,07:23.5,5784,5,5,120.956705,111.9675707,565.6378914,1210,[[1;0;0][3.74915180455534E-33;2.23000626023423E-15;36.4199688050562][6.12303176911189E-17;0;36.4207734022481][...]],89.33417949,10,1050816806,20,DTLZ3
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5} Run 16",150,[150;300;600;1350;2400],"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5}",300030,07:56.5,6471,5,5,26.14475736,122.9847872,398.6072318,1304.842223,[[1;0;0][6.12303176911189E-17;0;2.84625407559587][3.74915180455534E-33;1.74277041278377E-16;2.84625407559587][...]],98.65465785,10,1792890659,20,DTLZ3
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=10} Run 10",150,[150;300;600;1350;2400;3750;5400;7350;9600;12150],"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=10}",300015,12:53.2,9026,10,9,17.60706221,156.935179,413.2444042,1313.349643,[[1;0;0][6.12303169251452E-17;7.76738955275357E-18;801.991799527841][6.12303176911189E-17;0;1.60457793142792][...]],161.9088297,5,106401489,10,DTLZ3
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5} Run 16",300,[300;600;1200;2700;4800],"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5}",300030,08:10.0,6955,5,5,44.25404425,111.6348565,375.6484488,1286.745653,[[1;0;0][3.74915180455534E-33;2.46337065423867E-16;4.02312244510201][6.12303176911189E-17;0;4.02312244510201][...]],88.33752059,10,705082765,20,DTLZ3
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5} Run 17",50,[50;100;200;450;800],"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5}",300020,07:45.1,6135,5,5,83.44400958,161.9925831,573.8067933,1247.512695,[[1;0;0][3.74915180455534E-33;5.38705107997393E-16;8.79801262366355][6.12303176911189E-17;0;8.79124745804758][...]],49.96676181,10,1325455470,20,DTLZ3
