,AgeGap,AgeLimits,Algorithm Name,EvaluatedSolutions,Execution Time,Generations,NumberOfLayers,OpenLayers,ParetoFrontResults.Absolute Distance to BestKnownHypervolume,ParetoFrontResults.Crowding,ParetoFrontResults.Generational Distance,ParetoFrontResults.Hypervolume,ParetoFrontResults.Pareto Front,ParetoFrontResults.Spacing,PopulationSize,Seed,SelectedParents,Problem
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=10} Run 3",150,[150;300;600;1350;2400;3750;5400;7350;9600;12150],"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=10}",300015,01:01.8,9026,10,9,0.354396135,0.352205806,0.732182303,128.42372,[[0.85217065276807;-0.757786640623536][0;1.02867701682213][0.210539562643069;0.5007300995357][0.425591656582013;0.0961080525721007][...]],0.180097417,5,549952097,10,ZDT3
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5} Run 14",50,[50;100;200;450;800],"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5}",300020,00:48.3,6135,5,5,0.531172068,0.228093972,1.067404063,128.2469441,[[0.851918270299352;-0.730328229373442][0;1.0786462181229][0.0822111518767037;0.73727032880235][0.652923872241187;-0.410735619223755][...]],0.076552728,10,581716726,20,ZDT3
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5} Run 8",5,[5;10;20;45;80],"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5}",300010,00:46.5,5784,5,5,1.031524071,0.297598929,1.764851453,127.7465921,[[0;1.15833939076972][0.85158030464003;-0.685377934916467][0.45510843579415;-0.0169855195868734][0.65334437021709;-0.361341549093282][...]],0.078727279,10,726363634,20,ZDT3
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=10} Run 4",300,[300;600;1200;2700;4800;7500;10800;14700;19200;24300],"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=10}",300000,01:05.6,10982,10,8,0.267571991,0.287805075,0.445109746,128.5105441,[[0;1.01323106642756][0.851880441559678;-0.76697034634578][0.161073284872948;0.872750147467759][0.42556611392048;0.119821057590376][...]],0.113881572,5,720774377,10,ZDT3
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=10} Run 4",150,[150;300;600;1350;2400;3750;5400;7350;9600;12150],"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=10}",300015,01:02.4,9026,10,9,0.162050835,0.303758086,0.695114428,128.6160653,[[0;1.01167265962976][0.85241836914394;-0.766924612873107][0.443009494631568;-0.0743211386058728][0.221504747315784;0.437590455196428][...]],0.169062322,5,259775901,10,ZDT3
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5} Run 15",50,[50;100;200;450;800],"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5}",300020,00:48.3,6135,5,5,0.228065486,0.237834092,0.992657099,128.5500506,[[0;1.03101053483487][0.851735728421523;-0.75663244004207][0.253799264916306;0.267478234237408][0.197390161680757;0.596071190041414][...]],0.08842196,10,1341381334,20,ZDT3
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5} Run 9",5,[5;10;20;45;80],"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5}",300010,00:46.5,5784,5,5,0.889568936,0.351663379,1.610707761,127.8885472,[[0.851763826628225;-0.698700340232435][0;1.13946391186587][0.0683471903804697;0.803090975884505][0.204021463822298;0.62806980844618][...]],0.116845074,10,19811172,20,ZDT3
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5} Run 16",50,[50;100;200;450;800],"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5}",300020,00:48.2,6135,5,5,0.16863538,0.211962313,0.800223641,128.6094808,[[0.851938807632886;-0.76346363235479][0;1.01831511802214][0.106077128872501;0.70977935614354][0.651996217956837;-0.447223054890244][...]],0.069753542,10,589890543,20,ZDT3
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=10} Run 5",150,[150;300;600;1350;2400;3750;5400;7350;9600;12150],"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=10}",300015,01:02.3,9026,10,9,0.27376897,0.32235849,0.786829544,128.5043472,[[0.851921138718491;-0.770586385763592][0;1.0051555640319][0.411768297592383;0.231787016026478][0.636758934132743;-0.287361874971689][...]],0.172791633,5,912115705,10,ZDT3
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5} Run 10",5,[5;10;20;45;80],"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5}",300010,00:46.5,5784,5,5,1.035918912,0.268875098,1.818277386,127.7421972,[[0.851392258056313;-0.685395589251932][0;1.15816564140185][0.0740898560872636;0.811369241479985][0.652433722009765;-0.361349134414348][...]],0.085684006,10,798823180,20,ZDT3
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=10} Run 5",300,[300;600;1200;2700;4800;7500;10800;14700;19200;24300],"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=10}",300000,01:05.8,10982,10,8,0.128022497,0.32501411,0.531296881,128.6500936,[[0.851763208797951;-0.770070529969584][0;1.00606895489847][0.214811779426834;0.465535402421887][0.418536994287113;0.302931786062445][...]],0.153381522,5,1032583611,10,ZDT3
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5} Run 17",50,[50;100;200;450;800],"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5}",300020,00:48.0,6135,5,5,0.49609508,0.228046801,0.894502588,128.2820211,[[0.85033258703317;-0.733120204228532][0;1.07137517036202][0.455385700926792;-0.0758954412763488][0.652859143979981;-0.41508455593741][...]],0.073361662,10,422406500,20,ZDT3
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5} Run 11",5,[5;10;20;45;80],"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5}",300010,00:46.5,5784,5,5,1.032877716,0.289487802,2.009879062,127.7452384,[[0.851150053302715;-0.685941212596953][0;1.15702537681289][0.0835024982713521;0.804830288779379][0.454500223066497;-0.0187548823287784][...]],0.079050602,10,459708553,20,ZDT3
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=10} Run 6",150,[150;300;600;1350;2400;3750;5400;7350;9600;12150],"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=10}",300015,01:02.6,9026,10,9,0.217859985,0.281149396,0.664615171,128.5602561,[[0;1.00948682937073][0.851895963097857;-0.768007360735829][0.639145884709535;-0.366853878931957][0.475808438528871;0.0491301955823111][...]],0.1189009,5,1249074111,10,ZDT3
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=10} Run 6",300,[300;600;1200;2700;4800;7500;10800;14700;19200;24300],"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=10}",300000,01:05.8,10982,10,8,0.221580845,0.347734175,0.552938559,128.5565353,[[0;1.0042736982809][0.85169563433924;-0.771057313443826][0.423009249119261;0.181246026423033][0.211504624559631;0.586184868593223][...]],0.162781228,5,953935026,10,ZDT3
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5} Run 18",50,[50;100;200;450;800],"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5}",300020,00:48.8,6135,5,5,0.572623349,0.226016303,0.9746965,128.2054928,[[0.852107360817974;-0.726239384209807][0;1.08595225989577][0.256270595447622;0.307106970888615][0.195607169056651;0.652044817498207][...]],0.074072306,10,687159342,20,ZDT3
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5} Run 12",5,[5;10;20;45;80],"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5}",300010,00:46.8,5784,5,5,1.935147573,0.339724416,1.703904569,126.8429686,[[0.851836483683146;-0.605572515810339][0;1.29524513421087][0.651665501600493;-0.274259486659066][0.0788397454548226;0.92705349328786][...]],0.076680265,10,855996292,20,ZDT3
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=10} Run 7",150,[150;300;600;1350;2400;3750;5400;7350;9600;12150],"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=10}",300015,01:03.0,9026,10,9,0.338590425,0.291954691,0.673354696,128.4395257,[[0;1.03102594664492][0.851917387939211;-0.75654906004164][0.425958693969606;0.0581980514715656][0.637460435796134;-0.332191782428082][...]],0.15462324,5,332435050,10,ZDT3
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=10} Run 7",300,[300;600;1200;2700;4800;7500;10800;14700;19200;24300],"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=10}",300000,01:07.0,10982,10,8,0.316473072,0.309487152,0.549611955,128.4616431,[[0.85171706798736;-0.765250320241234][0;1.01494299179955][0.212080238013744;0.501627260508587][0.424160476027489;0.10196407909823][...]],0.119953052,5,1057317558,10,ZDT3
