,Count,Minimum,Maximum,Average,Median,Standard Deviation,Variance,25th Percentile,75th Percentile,Avg. of Upper 25 %, Avg. of Lower 25 %,Avg. of First 25 %,Avg. of Last 25 %,Slope,Intercept,Average Relative Error
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=0} Run 66",7,23,5983,2633.714286,233,3133.80284,9820720.238,48,5983,5983,23,48,103,-0.535714286,2635.321429,1.36E-07
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=1} Run 65",5,33,5903,2433,213,3168.303963,10038150,113,5903,5903,33,33,163,-553,3539,0.076161693
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=300, NonDominatedElites=3} Run 49",10,55,6955,5785,6955,2515.750385,6329000,6955,6955,6955,1105,3505,6955,289.0909091,4484.090909,0.121044542
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=3} Run 47",5,13,5983,4726,5878,2635.039374,6943432.5,5878,5878,5983,13,13,5930.5,1194,2338,0.513303759
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=0} Run 67",8,13,5928,2266.125,143,3032.756805,9197613.839,23,5928,5928,13,23,3035.5,357.0833333,1016.333333,0.083179296
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=300, NonDominatedElites=3} Run 50",10,55,6955,5815,6955,2469.007898,6096000,6955,6955,6955,1255,3505,6955,403.6363636,3998.636364,0.244989263
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=1} Run 66",7,13,5973,3463.714286,5973,3131.075998,9803636.905,33,5973,5973,13,33,2993,402.5,2256.214286,0.077117214
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=300, NonDominatedElites=3} Run 51",10,55,6955,5245,6955,2800.178566,7841000,2155,6955,6955,805,805,5355,401.8181818,3436.818182,0.188755299
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=3} Run 48",10,13,5968,1832,110.5,2804.88245,7867365.556,43,5858,5913,18,53,74.66666667,-174.6060606,2617.727273,0.035522272
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=0} Run 68",6,18,5963,3005.5,3025.5,3239.859179,10496687.5,38,5963,5963,18,38,2990.5,500.7142857,1753.714286,0.083597972
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=1} Run 67",8,23,5983,2309.25,173,3042.56324,9257191.071,78,5983,5983,50.5,78,173,-199.2857143,3006.75,0.025740937
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=300, NonDominatedElites=3} Run 52",12,55,6955,4680,6955,2870.262896,8238409.091,2155,6955,6955,1055,4655,3355,-108.041958,5274.230769,0.018419799
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=3} Run 49",6,38,5958,3033,3073,3204.532727,10269030,98,5958,5958,38,98,2998,-173.4285714,3466.571429,0.010251323
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=0} Run 69",6,3,5973,2078,258,3019.208506,9115620,3,5973,5973,3,3,2988,326.5714286,1261.571429,0.040948519
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=300, NonDominatedElites=3} Run 53",12,55,6955,3880,3955,3221.271629,10376590.91,955,6955,6955,655,2655,955,-49.3006993,4151.153846,0.003045053
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=1} Run 68",11,8,5978,1672.545455,98,2765.58986,7648487.273,13,5978,5978,10.5,83,84.66666667,-322.1818182,3283.454545,0.149286038
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=300, NonDominatedElites=3} Run 54",10,55,6955,4585,6955,3109.501568,9669000,1855,6955,6955,205,955,4755,220,3595,0.045885476
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=3} Run 50",6,33,5983,4031.333333,5983,3024.105928,9145216.667,223,5983,5983,33,33,5983,1343.714286,672.047619,0.691015699
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=0} Run 70",7,13,5973,2593,298,3113.367684,9693058.333,38,5893,5973,13,38,3135.5,662.5,605.5,0.211308866
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=1} Run 69",8,28,5983,2298,130.5,3051.803916,9313507.143,73,5983,5983,50.5,108,73,-214.1666667,3047.583333,0.02954893
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=300, NonDominatedElites=3} Run 55",10,55,6955,5755,6955,2565.151068,6580000,6955,6955,6955,955,3505,5255,98.18181818,5313.181818,0.013429124
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=3} Run 51",8,18,5978,2296.125,173,3049.889855,9301828.125,35.5,5978,5978,23,173,30.5,-230.297619,3102.166667,0.03421069
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=300, NonDominatedElites=3} Run 56",10,55,6955,4555,6955,3117.691454,9720000,1255,6955,6955,655,3505,5055,65.45454545,4260.454545,0.004040404
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=300, NonDominatedElites=3} Run 57",11,55,6955,4364.090909,6955,3006.810451,9040909.091,1555,6955,6955,805,805,5155,362.7272727,2550.454545,0.160081448
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=3} Run 52",6,18,5963,3034.666667,3113,3208.982185,10297566.67,38,5963,5963,18,18,3113,542.8571429,1677.52381,0.100162359
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=300, NonDominatedElites=3} Run 58",11,55,6955,4364.090909,6955,3024.716365,9148909.091,1855,6955,6955,355,355,3555,32.72727273,4200.454545,0.001287784
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=3} Run 53",6,33,5768,2969.666667,3045.5,3066.800722,9405266.667,158,5768,5768,33,33,2963,-137.7142857,3313.952381,0.007057566
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=300, NonDominatedElites=3} Run 59",10,55,6955,6265,6955,2181.971586,4761000,6955,6955,6955,3505,3505,6955,376.3636364,4571.363636,0.272727273
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=300, NonDominatedElites=3} Run 60",14,55,6955,4940.714286,6955,2839.787951,8064395.604,1855,6955,6955,955,4655,1630,-269.010989,6689.285714,0.157038546
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=3} Run 54",7,33,5983,2672.285714,313,3098.594343,9601286.905,98,5983,5983,33,313,65.5,-45.35714286,2808.357143,0.000999928
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=300, NonDominatedElites=3} Run 61",12,55,6955,5430,6955,2801.014427,7845681.818,4555,6955,6955,855,2455,5355,288.4615385,3843.461538,0.137875942
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=300, NonDominatedElites=3} Run 62",10,55,6955,3955,4255,3187.47549,10160000,1255,6955,6955,355,355,5055,338.1818182,2433.181818,0.103185397
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=3} Run 55",7,28,5963,2625.857143,208,3122.388051,9749307.143,48,5963,5963,28,28,3085.5,647.3214286,683.8928571,0.200573243
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=300, NonDominatedElites=3} Run 63",10,55,6955,5125,6955,2978.086634,8869000,1855,6955,6955,355,3505,6955,507.2727273,2842.272727,0.265962136
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=3} Run 56",8,13,5893,2304.25,248,2973.090924,8839269.643,123,5893,5893,38,123,3103,82.73809524,2014.666667,0.004646714
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=3} Run 57",5,13,5943,4757,5943,2651.976621,7032980,5943,5943,5943,13,13,5943,1186,2385,0.5
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=3} Run 58",9,8,5958,2056.888889,183,2927.152816,8568223.611,23,5958,5958,13,20.5,104.6666667,-182.3333333,2786.222222,0.029100645
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=3} Run 59",6,3,5983,3030.5,3095.5,3235.091575,10465817.5,23,5983,5983,3,3,5983,1530.142857,-794.8571429,0.782994742
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=3} Run 60",7,38,5983,3446.571429,5983,3163.531405,10007930.95,58,5983,5983,38,38,5983,1270.357143,-364.5,0.752513245
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=3} Run 61",9,13,5983,2015.777778,53,2975.446512,8853281.944,23,5983,5983,18,38,2008,196.1666667,1231.111111,0.032599234
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=3} Run 62",5,43,5978,4791,5978,2654.212689,7044845,5978,5978,5978,43,43,5978,1187,2417,0.5
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=3} Run 63",8,18,5938,2289.25,150.5,3021.826257,9131433.929,90.5,5938,5938,43,128,113,-212.1428571,3031.75,0.02957121
