,AgeGap,AgeLimits,Algorithm Name,Execution Time,Generations,NonDominatedElites,NumberOfLayers,OpenLayers,ParetoFrontResults.Absolute Distance to BestKnownHypervolume,ParetoFrontResults.Best known hypervolume,ParetoFrontResults.Crowding,ParetoFrontResults.Generational Distance,ParetoFrontResults.Hypervolume,ParetoFrontResults.Pareto Front,ParetoFrontResults.Spacing,PopulationSize,Seed,SelectedParents
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=150, NonDominatedElites=0} Run 71",150,[150;300;600;1350;2400],"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=150, NonDominatedElites=0}",01:20.4,6471,0,5,5,0.058209107,1324.483086,0.749378391,0.00496869,1324.424877,[[4.33333191010396E-17;4.36053052857997E-17;1.00399922797377][0.711586731276114;0.707642855887353;0][4.36052767579804E-17;4.33333157064938E-17;1.00399885841818][...]],0.09322696,10,1185602760,20
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=150, NonDominatedElites=1} Run 72",150,[150;300;600;1350;2400],"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=150, NonDominatedElites=1}",01:20.8,6471,1,5,5,0.165523356,1324.487797,0.781057854,0.006120437,1324.322274,[[0.713734697038896;0.707898184248659;0][0.707903192123858;0.713776918461712;0][4.3705164729664E-17;4.33451820918883E-17;1.00529311586597][...]],0.123592711,10,1694712061,20
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=0} Run 73",5,[5;10;20;45;80;125;180;245;320;405],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=0}",01:53.0,5983,0,10,10,0.777468108,1324.367774,1.920267,0.036098841,1323.590306,[[4.33724987415413E-17;4.3936353806785E-17;1.00829085105338][4.39361578721821E-17;4.33724756775502E-17;1.0082883091515][...]],0.205169016,5,775232525,10
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=1} Run 72",5,[5;10;20;45;80;125;180;245;320;405],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=1}",01:53.6,5983,1,10,10,0.565535026,1324.367774,2.426174124,0.010643015,1323.802239,[[0.718714670116839;0.708485954695389;0][0.708485957032925;0.718714690020735;0][4.40065923073545E-17;4.33807572220632E-17;1.00920221184644][...]],0.284830915,5,1009218844,10
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=150, NonDominatedElites=0} Run 72",150,[150;300;600;1350;2400],"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=150, NonDominatedElites=0}",01:21.2,6471,0,5,5,0.151360894,1324.474947,0.75819427,0.006368913,1324.323586,[[0.714266886882565;0.707961276294587;0][0.707952369628788;0.714191723646807;0][4.37274426460262E-17;4.33478233670649E-17;1.00558185105566][...]],0.109877138,10,891495921,20
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=150, NonDominatedElites=1} Run 73",150,[150;300;600;1350;2400],"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=150, NonDominatedElites=1}",01:21.4,6471,1,5,5,0.291896488,1324.476628,0.583742649,0.071944831,1324.184732,[[0.714816522022;0.708026366120838;0][4.37228200907326E-17;4.33472754736747E-17;1.00552193761576][0.845182210429998;0.700868253762587;0.285303054306762][...]],0.084800211,10,865663103,20
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=0} Run 74",5,[5;10;20;45;80;125;180;245;320;405],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=0}",01:53.5,5983,0,10,10,1.094479403,1324.367774,∞,0.029196793,1323.273295,[[4.33977727240673E-17;4.41518181366496E-17;1.01108744501971][0.721077724263605;0.708762821434158;0][4.41518181366496E-17;4.33977727240672E-17;1.01108744501971][...]],0.09749046,5,79655210,10
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=1} Run 73",5,[5;10;20;45;80;125;180;245;320;405],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=1}",01:54.7,5983,1,10,10,1.199020363,1324.367774,∞,0.172204586,1323.168754,[[1.17189213186879;0.706333860172456;0.473598497472551][0.715591391137627;0.708118007667376;0][4.335829212022E-17;4.38159013150666E-17;1.00672860981596][...]],0.311380687,5,2120118715,10
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=150, NonDominatedElites=1} Run 74",150,[150;300;600;1350;2400],"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=150, NonDominatedElites=1}",01:21.0,6471,1,5,5,0.067622688,1324.487633,0.65307099,0.008874228,1324.42001,[[4.33418840814153E-17;4.36773702820676E-17;1.00493292309937][4.36766833716001E-17;4.33418025366684E-17;1.00492402187713][...]],0.108649134,10,988764952,20
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=150, NonDominatedElites=0} Run 73",150,[150;300;600;1350;2400],"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=150, NonDominatedElites=0}",01:32.1,6471,0,5,5,0.316472311,1324.513132,0.712469265,0.034743101,1324.19666,[[4.3312755451092E-17;4.34329739565587E-17;1.00176766544261][4.33841790111002E-17;4.33644774692548E-17;1.00180053200881][...]],0.126932308,10,201446800,20
