,Count,Minimum,Maximum,Average,Median,Standard Deviation,Variance,25th Percentile,75th Percentile,Avg. of Upper 25 %, Avg. of Lower 25 %,Avg. of First 25 %,Avg. of Last 25 %,Slope,Intercept,Average Relative Error
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5} Run 33",50,55,6955,1963,00:00.0,2571.971371,6615036.735,355,1555,6055,105,105,5708.846154,143.5102041,-1553,0.661595036
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=10} Run 21",45,26,9026,2352.666667,00:00.0,2455.943625,6031659.091,476,3626,5589.636364,135.0909091,135.0909091,5263.5,157.5494071,-1113.42029,0.7098815
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=10} Run 21",50,15,7015,1166,00:00.0,1683.609158,2834539.796,115,1415,3231.666667,31.66666667,31.66666667,3091.923077,83.00840336,-867.7058824,0.516559671
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5} Run 34",50,55,6955,1939,00:00.0,2387.754474,5701371.429,355,2455,5455,105,105,5224.230769,136.4513806,-1404.058824,0.693961644
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=10} Run 22",40,182,10982,4067,00:00.0,3764.173216,14169000,632,7382,9182,182,182,9182,303.8273921,-1857.634146,0.890383808
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=10} Run 22",45,26,9026,2596,00:00.0,2964.264434,8786863.636,26,3626,6844.181818,26,66.90909091,6576,198.6758893,-1774.869565,0.774899792
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5} Run 35",50,55,6955,1723,00:00.0,2378.598455,5657730.612,55,1555,5155,55,80,4878.076923,122.7659064,-1284.764706,0.56607271
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=10} Run 22",50,15,7015,1485,00:00.0,2043.830937,4177244.898,165,1215,4410.833333,60.83333333,60.83333333,4065,109.392557,-1195.117647,0.608757809
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=10} Run 23",40,182,10982,4052,00:00.0,3726.49557,13886769.23,482,7082,9032,332,332,9032,301.0131332,-1817.756098,0.89172773
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5} Run 36",50,55,6955,1765,00:00.0,2547.207354,6488265.306,55,1855,5680,55,55,5385.769231,137.6470588,-1607.352941,0.620532034
