,AgeGap,AgeLimits,Algorithm Name,EvaluatedSolutions,Execution Time,Generations,NumberOfLayers,OpenLayers,ParetoFrontResults.Absolute Distance to BestKnownHypervolume,ParetoFrontResults.Best known hypervolume,ParetoFrontResults.Crowding,ParetoFrontResults.Generational Distance,ParetoFrontResults.Hypervolume,ParetoFrontResults.Pareto Front,ParetoFrontResults.Spacing,PopulationSize,Seed,SelectedParents
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 18",300,[300;600;1200],"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3}",300000,10:24.0,6542,3,3,0.283715893,1330.993815,12.06129966,37.11917373,1330.710099,[[0;1.16970743769748;0][1.16970740137338;0;0][0;0;1.16970712596834][0.117328202308373;0.0474986469521046;1.00488046361862][...]],8.663568349,16,320550919,32
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3} Run 16",150,[150;300;600],"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3}",300000,10:16.3,6385,3,3,1.203590419,1330.968571,17.38414674,52.55614318,1329.764981,[[2.24863966427194;0;0][0;2.24862900468824;0][0;0;2.24863024224017][0.180854048791416;1.53223406205145;0.535552027992042][...]],13.06854424,16,1889903693,32
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=3} Run 14",5,[5;10;20],"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=3}",300032,09:30.0,5864,3,3,34.83396305,1330.424525,69.22530553,225.7492421,1295.590562,[[6.79952887673184;0;0][0;6.79952888276195;0][0;0;6.79952887549194][2.79322479394946;0.723365505676313;3.28293702192129][...]],54.88616677,16,2049327657,32
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=3} Run 15",50,[50;100;200],"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=3}",300032,10:02.2,6258,3,3,206.2911198,1330.381387,64.01431789,245.7271177,1124.090268,[[10.7384365816865;0;0][0;10.7279925012572;0][0;0;10.728239501108][3.51295511965736;4.63798708356487;2.57796744118064][...]],47.5263302,16,1498549900,32
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 19",300,[300;600;1200],"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3}",300000,10:26.2,6542,3,3,0.03233208,1330.998875,12.66799302,40.48328231,1330.966542,[[0.706687472079103;0;0][0;0;0.706687472044997][0;0.706687464680311;0][0.022290106374659;0.479332599513334;0.205064760894192][...]],9.251348285,16,1164992278,32
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3} Run 17",150,[150;300;600],"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3}",300000,10:16.6,6385,3,3,0.028195188,1330.998422,16.99141428,38.93025226,1330.970227,[[0;0;0.624383950320173][0;0.624079919570708;0][0.624078326437083;0;0][0.180752866227415;0.434081826403118;0.00924575948076373][...]],14.25470834,16,567305200,32
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=3} Run 15",5,[5;10;20],"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=3}",300032,09:33.1,5864,3,3,675.8604709,1330.381387,84.01147186,235.4511087,654.5209166,[[0;14.859386369617;0][14.8595120760358;0;0][0;0;14.8593818062348][8.72652156000183;4.59874829124989;1.53424748563606][...]],64.99766211,16,1016950485,32
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=3} Run 16",50,[50;100;200],"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=3}",300032,10:09.6,6258,3,3,1.109278074,1330.972133,76.83607468,191.950251,1329.862855,[[0;1.98866896538928;0][0;0;1.98866896599671][1.98866896607673;0;0][0;1.69784053627637;0.290828429592528][...]],49.20358057,16,1266687330,32
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 20",300,[300;600;1200],"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3}",300000,10:29.8,6542,3,3,0.020529315,1330.999544,9.058763885,32.62719044,1330.979015,[[0;0;0.516637528336982][0;0.516643808228167;0][0.516643779642056;0;0][0.231872572859653;0.248018144968399;0.03675837523775][...]],6.577053972,16,236411013,32
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3} Run 18",150,[150;300;600],"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3}",300000,10:03.4,6385,3,3,2.632072146,1330.983345,19.82341286,58.04956373,1328.351272,[[0;0;2.59933204428605][0;2.59943060728861;0][2.5993320415104;0;0][2.18075636892317;0.245428455016011;0.173245781490201][...]],19.42188426,16,117261619,32
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=3} Run 16",5,[5;10;20],"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=3}",300032,09:12.9,5864,3,3,130.7278312,1330.381387,65.50068092,225.5450431,1199.653556,[[10.4548782887428;0;0][0;0;10.4548272474385][0;10.4548352069937;0][5.33322502022759;1.66043581575678;3.46119552163283][...]],53.75149216,16,1758427175,32
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=3} Run 17",50,[50;100;200],"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=3}",300032,09:30.5,6258,3,3,29.61959684,1330.381387,60.8897312,187.0050799,1300.761791,[[0;0;6.90741561960096][0;6.93640028047008;0][6.90840593889367;0;0][0.691538797601337;0.405307031932347;5.84930053642589][...]],45.71331028,16,1185742342,32
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=3} Run 17",5,[5;10;20],"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=3}",300032,08:17.5,5864,3,3,29.98694295,1330.381387,65.60796605,188.3187409,1300.394445,[[0;0;9.20396845253367][9.20395953984548;0;0][0;9.20395670464772;0][5.19013225203881;0.977635281370355;3.03621088160557][...]],40.9814364,16,1235379063,32
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3} Run 19",150,[150;300;600],"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3}",300000,08:59.1,6385,3,3,0.375157686,1330.868206,14.58505169,56.66050071,1330.493048,[[0;0;1.6910136055918][0;1.69101241035908;0][1.69101308469176;0;0][0.312608920090146;0.137539474995645;1.24236476770966][...]],9.068117349,16,1479455135,32
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=3} Run 18",50,[50;100;200],"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=3}",300032,08:52.7,6258,3,3,3.258126638,1330.825239,61.74384078,164.9733014,1327.567112,[[0;0;3.12268532076417][3.12116807987738;0;0][0;3.12135868172937;0][0.468722268703873;0.333446254038063;2.32099815556779][...]],63.01299412,16,404478172,32
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=3} Run 18",5,[5;10;20],"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=3}",300032,08:15.1,5864,3,3,177.7537432,1330.381387,73.50989409,213.9881701,1152.627644,[[11.0932105990455;0;0][0;11.0932095359382;0][0;0;11.0932095358073][6.00986486807169;3.24127672675351;1.84206793821095][...]],63.37661667,16,271330270,32
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3} Run 20",150,[150;300;600],"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3}",300000,08:57.5,6385,3,3,0.023038474,1330.999703,13.28996872,49.11066544,1330.976664,[[0;0.562493240681327;0][0;0;0.562493240617556][0.562493240609207;0;0][0.112427318317746;0.0304677909197343;0.419598131455393][...]],7.66602165,16,1564110565,32
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=3} Run 19",50,[50;100;200],"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=3}",300032,08:31.3,6258,3,3,0.663058299,1330.979785,73.51632555,218.4314841,1330.316727,[[2.12865830134455;0;0][0;2.12865819554971;0][0;0;2.12865819554971][0.234439897501237;1.16288728561991;0.73133102453124][...]],68.7738669,16,571954988,32
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=3} Run 19",5,[5;10;20],"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=3}",300032,07:12.3,5864,3,3,548.3559294,1330.381387,59.64257242,216.3712315,782.0254581,[[14.8261384900688;0;0][0;14.8261399036526;0][0;0;14.8261297395847][1.13827836398338;10.7266313640095;2.96123141659451][...]],48.10263942,16,927517402,32
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=3} Run 20",50,[50;100;200],"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=3}",300032,07:30.6,6258,3,3,28.96343035,1330.690415,76.44894537,241.8209213,1301.726984,[[0;0;8.15108505807444][0;8.15108505606094;0][8.15108505656737;0;0][3.78350771032927;2.69968476010033;1.66789259325954][...]],45.29075195,16,1837851432,32
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=3} Run 20",5,[5;10;20],"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=3}",300032,06:43.6,5864,3,3,248.2838263,1330.381387,74.37393191,257.4102724,1082.097561,[[0;11.0919109198492;0][0;0;11.0919109190534][11.0919109198746;0;0][1.0368088902065;8.51918781082823;1.53591421881527][...]],42.00262083,16,1230058282,32
