,AgeGap,AgeLimits,Algorithm Name,EvaluatedSolutions,Execution Time,Generations,NumberOfLayers,OpenLayers,ParetoFrontResults.Absolute Distance to BestKnownHypervolume,ParetoFrontResults.Crowding,ParetoFrontResults.Generational Distance,ParetoFrontResults.Hypervolume,ParetoFrontResults.Pareto Front,ParetoFrontResults.Spacing,PopulationSize,Seed,SelectedParents
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=10} Run 26",150,[150;300;600;1350;2400;3750;5400;7350;9600;12150],"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=10}",300015,01:58.1,9026,10,9,9.294283974,0.668581256,1.70458757,994.5915703,[[0.820661268523243;0.980988593337649;3.21137900413187][0.859403539880727;0.859745527787925;2.61410593904034][...]],0.326554268,5,123926928,10
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=10} Run 27",300,[300;600;1200;2700;4800;7500;10800;14700;19200;24300],"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=10}",300000,02:04.4,10982,10,8,7.132787867,0.788164912,1.517974948,996.7530664,[[0.792822950861096;0.988049819833143;5.09459309602252][0.93632482737012;0;4.53597010314739][0.858596149796522;0.859092168702087;2.61462408055801][...]],0.272810459,5,292056704,10
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=10} Run 27",5,[5;10;20;45;80;125;180;245;320;405],"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=10}",300030,01:46.9,5983,10,10,22.01143842,0.866898493,4.846126412,981.8744159,[[0;0;6.02352250138069][0.859258482821481;0.860697765394975;2.63759818530732][0;1;5.42104659427864][0.818308063529513;0.833910853737447;4.18084818951667][...]],0.324600282,5,961412103,10
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=10} Run 27",50,[50;100;200;450;800;1250;1800;2450;3200;4050],"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=10}",300000,01:52.3,7015,10,10,6.346979026,0.79355206,2.535687089,997.5388752,[[0.893135454696151;0.695350026022015;4.32257202814505][0;0;6.00164425711757][0.858513819073335;0.860419717418105;2.61570399121151][...]],0.73280164,5,110473751,10
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=10} Run 27",150,[150;300;600;1350;2400;3750;5400;7350;9600;12150],"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=10}",300015,01:58.3,9026,10,9,5.769886836,0.821169671,2.357541145,998.1159674,[[0.806682800150061;0.930988735987331;2.91948453775671][0.937242846145924;0.694329789998361;3.93075019442063][...]],0.282383987,5,1602236261,10
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=10} Run 28",5,[5;10;20;45;80;125;180;245;320;405],"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=10}",300030,01:45.8,5983,10,10,17.68941922,0.941994638,5.22244796,986.1964351,[[0.856019952821879;0.859157789584812;2.66468364993465][0;0;6.0502172145348][0.893743655398331;0.37715000495273;4.23612502016766][...]],0.352397557,5,1692701267,10
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=10} Run 28",50,[50;100;200;450;800;1250;1800;2450;3200;4050],"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=10}",300000,01:50.9,7015,10,10,8.55912861,0.904766812,2.933806984,995.3267257,[[0;0.877081463005414;5.04153620288341][0.859879078257182;0.860408983465083;2.61650740564577][0;0;6.00244971154635][...]],0.402588422,5,1270567555,10
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=10} Run 28",300,[300;600;1200;2700;4800;7500;10800;14700;19200;24300],"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=10}",300000,02:04.1,10982,10,8,4.702874938,0.806007978,2.006990891,999.1829793,[[0.836858171006027;0.956062085616349;2.9939793692798][0.859410927021501;0.859226429654292;2.61401635836474][...]],0.295235719,5,1576902150,10
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=10} Run 28",150,[150;300;600;1350;2400;3750;5400;7350;9600;12150],"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=10}",300015,01:57.1,9026,10,9,2.444568856,0.885494676,2.040492513,1001.441285,[[0.862348859088676;0.783560738415858;2.86276921573972][0.850061156429815;1;3.32908206133683][0;0;6.00019567971428][...]],0.358722296,5,2030317554,10
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=10} Run 29",5,[5;10;20;45;80;125;180;245;320;405],"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=10}",300030,01:46.6,5983,10,10,14.66838243,0.801228198,5.440646048,989.2174718,[[0.85765696656705;0.858758136768688;2.62148910887955][0;0;6.00734465514476][0.97245034874606;0.00883922465900844;5.34753980703986][...]],0.346377383,5,951990732,10
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=10} Run 29",50,[50;100;200;450;800;1250;1800;2450;3200;4050],"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=10}",300000,01:51.8,7015,10,10,8.108179857,0.730853282,2.421768325,995.7776744,[[0.825216132034484;0.87671417969651;3.44442579101751][0.873539507582002;0;4.59647019231421][0;0;6.00128995191845][...]],0.357659473,5,963361395,10
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=10} Run 29",300,[300;600;1200;2700;4800;7500;10800;14700;19200;24300],"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=10}",300000,02:04.7,10982,10,8,6.131719454,0.851999617,1.655273644,997.7541348,[[0.0429147003773914;1;5.61723169544966][0;0;6.00000175921324][0.871925108960099;0;4.31319550608476][0.859314247416167;0.86191353932749;2.6142592110508][...]],0.481250464,5,1745821458,10
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=10} Run 29",150,[150;300;600;1350;2400;3750;5400;7350;9600;12150],"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=10}",300015,01:58.2,9026,10,9,5.960725296,0.843235279,2.603853188,997.925129,[[0.792437759598439;1;3.8623267816887][0;0;6.00003352399213][0.855993422908772;0.857009524486404;2.61472275334553][...]],0.405125167,5,604542015,10
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=10} Run 30",5,[5;10;20;45;80;125;180;245;320;405],"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=10}",300030,01:43.0,5983,10,10,19.88411687,0.904505186,6.10323763,984.0017374,[[0.85924140101015;0.861303728830492;2.63458536182515][0;0;6.01973717759712][0.33;0.886272043431044;4.04003102419975][...]],0.350032417,5,1450076477,10
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=10} Run 30",50,[50;100;200;450;800;1250;1800;2450;3200;4050],"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=10}",300000,01:46.3,7015,10,10,5.452016243,0.709640036,2.410085193,998.433838,[[0;0.854832524595995;5.54977762086305][0.858978457732052;0;4.33273786330571][0.304974500335468;0.875229913019113;4.12255277432136][...]],0.299108686,5,1048831613,10
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=10} Run 30",300,[300;600;1200;2700;4800;7500;10800;14700;19200;24300],"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=10}",300000,01:58.1,10982,10,8,5.607226758,0.710574644,1.278158015,998.2786275,[[0.86253620793328;0.726966785800218;4.13920881651274][0.835266709180842;1;3.39546885520059][0;0;6][0.859567428212668;0.859664514953418;2.61401255515742][...]],0.324847721,5,1973132545,10
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=10} Run 30",150,[150;300;600;1350;2400;3750;5400;7350;9600;12150],"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=10}",300015,01:50.7,9026,10,9,4.996094195,0.863602835,2.73898535,998.8897601,[[0;0.980506880662309;4.99856098282995][0.861551248968025;0;4.32304577129662][0.858516875375236;0.860218498303508;2.61428665645301][...]],0.217307772,5,1519139145,10
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=10} Run 31",5,[5;10;20;45;80;125;180;245;320;405],"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=10}",300030,01:39.5,5983,10,10,17.16301571,0.933147002,5.658740397,986.7228386,[[0.856877058708301;0.860096411433922;2.64948889792331][0;0;6.03585503566769][0.190592403928054;0.191308474184379;5.28187129398876][...]],0.472744742,5,777283096,10
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=10} Run 31",50,[50;100;200;450;800;1250;1800;2450;3200;4050],"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=10}",300000,01:43.9,7015,10,10,6.516249325,0.805102254,2.723366532,997.369605,[[0.861062129203264;0.854291798933851;2.674104571438][0;0;6.00000183077031][0.856983878028584;0.857177781703394;2.6144341602017][...]],0.420349159,5,1410363826,10
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=10} Run 31",300,[300;600;1200;2700;4800;7500;10800;14700;19200;24300],"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=10}",300000,01:56.3,10982,10,8,7.419445506,0.668788412,1.603221767,996.4664088,[[0;0.859088702490697;4.49637020905049][0.859084088965304;0.859067806382612;2.61402736987277][0;0;6.00001033291203][...]],0.28483862,5,763045935,10
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=10} Run 31",150,[150;300;600;1350;2400;3750;5400;7350;9600;12150],"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=10}",300015,01:50.8,9026,10,9,10.84577665,0.748330073,1.491272843,993.0400776,[[1;0.384285386586371;4.93532457990035][0;1;5.46399213837208][0.860882255210047;0.858141589172645;2.61444974904667][...]],0.288765452,5,1368396053,10
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=10} Run 32",5,[5;10;20;45;80;125;180;245;320;405],"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=10}",300030,01:39.7,5983,10,10,6.27546958,0.888944038,5.619276978,997.6103847,[[0;0;6.00528137387354][0.855904405684513;0.856029574364149;2.62021629400157][0.872363919590791;0.123508727102509;4.08470011374503][...]],0.289571691,5,1112956132,10
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=10} Run 32",50,[50;100;200;450;800;1250;1800;2450;3200;4050],"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=10}",300000,01:44.4,7015,10,10,6.164435649,0.793759351,2.754218883,997.7214186,[[0;0.841908954108135;4.97872996788604][0.854142017775474;0.85817440436526;2.79707621693041][0.859148046907537;0.857641833060349;2.61581898650934][...]],0.279432544,5,1227244571,10
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=10} Run 32",300,[300;600;1200;2700;4800;7500;10800;14700;19200;24300],"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=10}",300000,01:58.7,10982,10,8,9.400223251,0.568410754,0.945620902,994.485631,[[0;0.874068398431958;4.86112145625837][0;0;6.00025975727055][0.857946521336624;0.858228825614313;2.61440558085055][...]],0.211106757,5,915663399,10
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=10} Run 32",150,[150;300;600;1350;2400;3750;5400;7350;9600;12150],"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=10}",300015,01:53.5,9026,10,9,6.177092064,0.803018282,2.638397307,997.7087622,[[0.749858905782391;1;3.84132343077393][0;0;6.00000269646312][0.857902517561229;0.860059426142444;2.61411669714868][...]],0.363840106,5,920400735,10
