,AgeLimits,Algorithm Name,Execution Time,Generations,NonDominatedElites,NumberOfLayers,OpenLayers,ParetoFrontResults.Absolute Distance to BestKnownHypervolume,ParetoFrontResults.Best known hypervolume,ParetoFrontResults.Crowding,ParetoFrontResults.Generational Distance,ParetoFrontResults.Hypervolume,ParetoFrontResults.Pareto Front,ParetoFrontResults.Spacing,PopulationSize,Seed,SelectedParents
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=300, NonDominatedElites=0} Run 37",[300;600;1200;2700;4800;7500;10800;14700;19200;24300],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=300, NonDominatedElites=0}",34:53.8,10982,0,10,8,1.832210474,1330.985416,1.274328035,0.424804031,1329.153205,[[1;0;0][5.31865835855682E-17;6.08395784331235E-17;2.00545190992754][3.74915180455534E-33;6.22145893638406E-17;1.01607490716751][...]],0.791284133,5,891901830,10
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1} Run 45",[300;600;1200],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1}",14:20.6,6542,1,3,3,0.695476757,1330.999796,0.495649995,0.315230232,1330.304319,[[1;0;0][6.07402784746856E-17;1.83491539749047;0.233551283317424][5.83130534510829E-17;3.31739640779564E-17;1.77642442713581][...]],0.154431972,16,572633110,32
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=300, NonDominatedElites=1} Run 36",[300;600;1200;2700;4800;7500;10800;14700;19200;24300],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=300, NonDominatedElites=1}",34:50.8,10982,1,10,8,2.906109898,1330.972922,5.650877697,0.77393145,1328.066813,[[1;0;0][6.12303176911189E-17;4.63961553688935;0][3.74915180455534E-33;6.19218730728081E-17;1.01129432947217][...]],1.137115375,5,167975058,10
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=0} Run 44",[300;600;1200],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=0}",14:55.3,6542,0,3,3,0.730748063,1330.999491,0.824319877,0.84363504,1330.268743,[[1;0;0][6.12303176911189E-17;0;1.42547576915153][3.74915180455534E-33;6.48708267861362E-17;1.05945598899849][...]],0.120521599,16,12700548,32
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1} Run 46",[300;600;1200],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1}",14:22.8,6542,1,3,3,0.538590394,1330.999944,0.483230632,0.613086113,1330.461353,[[1;0;0][3.74915180455534E-33;6.58954472672739E-17;1.076189863977][6.11677329167663E-17;6.86973280914086E-18;2.48209414490052][...]],0.201687163,16,1698825080,32
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=0} Run 45",[300;600;1200],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=0}",14:58.0,6542,0,3,3,0.897661192,1330.995939,0.685289655,0.65539713,1330.098277,[[1;0;0][6.12303176911189E-17;2.7937666859978;0][3.74915180455534E-33;6.60737046248399E-17;1.07910112369748][...]],0.24524658,16,1517101449,32
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1} Run 47",[300;600;1200],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1}",14:26.0,6542,1,3,3,0.534611442,1330.999967,0.700979138,0.455401681,1330.465356,[[1;0;0][3.74915180455534E-33;6.55115482089941E-17;1.06992010950314][6.12303176911189E-17;0;2.48382308306064][...]],0.188602607,16,473478826,32
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=300, NonDominatedElites=0} Run 38",[300;600;1200;2700;4800;7500;10800;14700;19200;24300],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=300, NonDominatedElites=0}",34:57.3,10982,0,10,8,3.567275317,1330.991414,3.003360475,1.760428602,1327.424138,[[1;0;0][6.12184323134815E-17;7.2034261733578E-18;5.97111504621453][3.74915180455534E-33;6.17679752872672E-17;1.00878090489193][...]],0.853319859,5,1139914538,10
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=300, NonDominatedElites=1} Run 37",[300;600;1200;2700;4800;7500;10800;14700;19200;24300],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=300, NonDominatedElites=1}",35:01.5,10982,1,10,8,1.236431091,1330.965742,1.636167396,0.365325213,1329.729311,[[1;0;0][0.242488800241738;1.85913859048952;0][5.72913116415267E-17;4.02985248914591E-17;1.86507808382696][...]],0.46213784,5,2902456,10
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=0} Run 46",[300;600;1200],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=0}",14:56.0,6542,0,3,3,0.376587506,1330.999057,0.616684583,0.701762673,1330.62247,[[1;0;0][6.12303176911189E-17;0;1.48848789729042][3.74915180455534E-33;6.59851961472238E-17;1.07765562282546][...]],0.1453966,16,314853977,32
